Date,Open,High,Low,Close,Adj Close,Volume
2021-01-14,34.07,35.099998,34.009998,34.75,33.496254,55856900
2021-01-15,33.080002,33.5,31.82,32.040001,30.884033,91993100
2021-01-19,32.41,33.040001,32.279999,32.630001,31.452744,43806800
2021-01-20,32.779999,32.830002,32.299999,32.459999,31.288876,29949800
2021-01-21,32.32,32.43,31.92,32.0,30.845474,28240600
2021-01-22,31.34,32.060001,31.15,31.9,30.749081,24476100
2021-01-25,31.879999,32.349998,31.620001,32.240002,31.076817,28515500
2021-01-26,32.490002,32.529999,31.360001,31.379999,30.247841,28026500
2021-01-27,30.92,31.030001,29.92,30.17,29.081499,45074900
2021-01-28,30.530001,31.049999,30.309999,30.809999,29.698406,28770200
2021-01-29,30.77,31.190001,29.82,29.879999,28.80196,39500800
2021-02-01,30.139999,30.219999,29.68,29.99,28.90799,23713400
2021-02-02,30.459999,31.190001,30.379999,30.75,29.640572,25302900
2021-02-03,30.719999,31.77,30.610001,31.700001,30.556295,28507800
2021-02-04,31.870001,32.849998,31.799999,32.66,31.581284,30825400
2021-02-05,33.0,33.189999,32.509998,32.560001,31.484591,24908100
2021-02-08,32.779999,33.57,30.77,33.400002,32.296852,29223800
2021-02-09,33.209999,33.41,32.91,33.259998,32.161469,23539800
2021-02-10,33.48,33.689999,33.09,33.200001,32.103455,22687000
2021-02-11,33.200001,33.34,32.369999,32.720001,31.639307,22393200
2021-02-12,32.650002,33.619999,32.650002,33.529999,32.422554,34473100
2021-02-16,34.07,34.93,34.0,34.790001,33.640938,36468200
2021-02-17,34.34,37.450001,34.029999,36.59,35.381489,80157700
2021-02-18,36.439999,37.360001,36.18,36.959999,35.739265,43334700
2021-02-19,37.130001,37.849998,37.029999,37.830002,36.580532,39023000
2021-02-22,37.669998,37.919998,37.099998,37.259998,36.029354,34690000
2021-02-23,37.59,37.77,36.599998,37.139999,35.913319,36792500
2021-02-24,37.240002,38.34,37.139999,38.290001,37.025337,42764300
2021-02-25,38.68,38.68,37.299999,37.560001,36.31945,37233100
2021-02-26,37.099998,37.41,35.93,36.169998,34.975349,39468000
2021-03-01,37.110001,37.419998,36.740002,37.09,35.864967,28066100
2021-03-02,37.150002,37.450001,36.990002,37.139999,35.913319,19701200
2021-03-03,37.349998,38.66,37.349998,37.689999,36.44516,35365100
2021-03-04,37.619999,38.0,36.360001,37.16,35.932659,42932500
2021-03-05,37.869999,38.119999,36.34,37.43,36.193737,34558300
2021-03-08,38.130001,38.880001,37.77,38.669998,37.392784,38255200
2021-03-09,38.169998,38.799999,37.48,38.130001,36.870621,35854100
2021-03-10,38.68,39.700001,38.279999,39.580002,38.272728,38437200
2021-03-11,39.220001,39.59,38.610001,38.880001,37.595852,30598700
2021-03-12,39.5,40.02,39.419998,39.970001,38.649845,28754000
2021-03-15,40.07,40.23,39.169998,39.700001,38.388767,25892200
2021-03-16,39.369999,39.490002,38.720001,39.349998,38.050327,24668300
2021-03-17,39.68,40.439999,39.209999,39.84,38.524143,33537000
2021-03-18,40.150002,41.540001,40.150002,40.810001,39.462109,57420600
2021-03-19,39.939999,40.07,39.220001,39.630001,38.321075,60291800
2021-03-22,39.279999,39.310001,38.619999,38.970001,37.682877,32206000
2021-03-23,38.5,39.049999,38.049999,38.240002,36.97699,32494400
2021-03-24,38.360001,39.02,38.110001,38.119999,36.860954,24201700
2021-03-25,37.970001,39.360001,37.779999,39.299999,38.001976,28773000
2021-03-26,39.900002,40.23,39.169998,39.759998,38.446781,29156100
2021-03-29,38.580002,39.349998,37.900002,38.439999,37.17038,38426900
2021-03-30,38.540001,40.080002,38.470001,39.389999,38.089005,36134200
2021-03-31,39.27,39.630001,38.919998,39.07,37.779575,25832800
2021-04-01,38.959999,39.650002,38.919998,39.630001,38.321075,22706900
2021-04-05,40.029999,40.330002,39.32,39.48,38.176025,21293400
2021-04-06,39.419998,39.900002,39.259998,39.849998,38.53381,20969600
2021-04-07,39.84,40.09,39.630001,39.990002,38.669193,19393200
2021-04-08,39.869999,40.200001,39.330002,40.029999,38.707867,20845000
2021-04-09,40.34,40.790001,40.25,40.5,39.162346,28363600
2021-04-12,40.459999,40.889999,40.400002,40.77,39.423428,21093000
2021-04-13,40.5,40.509998,39.700001,39.790001,38.475788,29333200
2021-04-14,39.700001,42.18,39.060001,41.990002,40.603138,64926900
2021-04-15,42.099998,42.259998,41.029999,42.240002,40.844879,44146300
2021-04-16,42.669998,44.130001,42.580002,43.84,42.392025,57060200
